classification,mapped_internal_status,automation_note,id,npdes_id,source,severity,description,internal_value,external_value,internal_source_table,internal_source_id,external_source_id,detected_at,reviewed_at,updated_at,dismiss_reason,review_notes,recurrence_count
one_click_align_candidate,administratively_continued,"Confirm permit lifecycle, then set internal status to administratively_continued.",b0a6a529-abf5-4b39-b72b-e9fba2dc532d,WV1027891,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Admin Continued""",active,Admin Continued,npdes_permits,87672840-4b20-4199-9434-0beab476246c,35019ab5-fe98-46de-a3de-1508aa373fb9,2026-07-02T22:34:28.942449+00:00,,2026-07-02T22:34:28.942449+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",43e57ef4-eb2a-489b-b66c-ddabb0810229,WV1027913,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,81d4a936-435a-4ca8-a4ef-71303d260e4c,de280728-e5b8-407e-9e0e-3c8aeb27fd98,2026-07-02T22:34:31.780787+00:00,,2026-07-02T22:34:31.780787+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",5035a09c-4488-4396-b171-badfa8f93b1b,KYGE40840,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,6a27d6ac-3af7-4901-b510-50987f6d56cb,d7e318ea-7c69-4af1-912f-c4900ba66563,2026-07-02T22:28:23.085228+00:00,,2026-07-02T22:28:23.085228+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",3c541da4-6846-410e-995d-c1b6d3629add,KYGE40869,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,93e03251-017d-4c14-81cc-e1374ccd718c,f076925b-8444-42d8-a388-b93d8e8e7267,2026-07-02T01:59:46.928228+00:00,,2026-07-02T01:59:46.928228+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",d18f4b74-15ae-4f1f-b761-e08bf3b8a8c9,KYGE40869,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,93e03251-017d-4c14-81cc-e1374ccd718c,f076925b-8444-42d8-a388-b93d8e8e7267,2026-07-03T03:21:29.633185+00:00,,2026-07-03T03:21:29.633185+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",0869873c-ff4f-4446-984e-5b38d2bc124b,KYGE40869,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,93e03251-017d-4c14-81cc-e1374ccd718c,f076925b-8444-42d8-a388-b93d8e8e7267,2026-07-02T22:28:27.008173+00:00,,2026-07-02T22:28:27.008173+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",ed8a5828-70dd-490b-ad45-464f45b0260a,KYGE40869,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,93e03251-017d-4c14-81cc-e1374ccd718c,f076925b-8444-42d8-a388-b93d8e8e7267,2026-07-03T14:34:03.835768+00:00,,2026-07-03T14:34:03.835768+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",72c65fc0-bb98-45ad-9c9b-d62dcf31a145,TN0076376,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,9cc18098-6c93-4a37-b9e4-4605e20e4480,e64eb4e7-63c3-4929-8509-880a9d7b1f09,2026-07-02T22:30:14.200121+00:00,,2026-07-02T22:30:14.200121+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",b76f7921-6a1b-4f33-b523-ecc152224371,WV0052531,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,49943a81-6569-4d07-956a-b8644d27f659,e0c82600-16d3-4036-8de3-3180a4199efc,2026-07-02T22:31:12.570622+00:00,,2026-07-02T22:31:12.570622+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",140916f8-1452-4e78-ba54-068c31d1960e,WV0090000,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,ae64b8c0-998a-475f-875e-c6a381bbee49,1fd60c31-2554-4e43-abb6-0c586f016d93,2026-07-02T22:31:24.711762+00:00,,2026-07-02T22:31:24.711762+00:00,,,1
one_click_align_candidate,administratively_continued,"Confirm permit lifecycle, then set internal status to administratively_continued.",8f6741fc-b250-423e-9b7e-938af2893da0,WV0091952,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Admin Continued""",active,Admin Continued,npdes_permits,8b44fea6-a8ce-41e3-92d9-a1a30dc7fc57,9f1d9729-9713-4a6c-a0d4-071addb5cbb2,2026-07-02T22:31:27.917844+00:00,,2026-07-02T22:31:27.917844+00:00,,,1
one_click_align_candidate,administratively_continued,"Confirm permit lifecycle, then set internal status to administratively_continued.",28ce1f1d-ea95-4ff9-98cf-650f0428fb98,WV0091952,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Admin Continued""",active,Admin Continued,npdes_permits,8b44fea6-a8ce-41e3-92d9-a1a30dc7fc57,9f1d9729-9713-4a6c-a0d4-071addb5cbb2,2026-07-03T17:23:07.391681+00:00,,2026-07-03T17:23:07.391681+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",bc2cf994-0047-4745-9006-626869a66a36,WV0097446,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,35823306-fc12-4807-8f37-607b8c8cdc76,d9e2a948-dd69-46f9-b287-aea2a8b15de3,2026-07-02T22:31:31.177718+00:00,,2026-07-02T22:31:31.177718+00:00,,,1
one_click_align_candidate,administratively_continued,"Confirm permit lifecycle, then set internal status to administratively_continued.",c09232e4-e654-49bf-8d2b-130a2cc18e22,WV1005481,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Admin Continued""",active,Admin Continued,npdes_permits,ee2c2fbd-a847-4586-b51e-3f891d36ea9b,32148ac5-d1a1-46e9-a496-b1d58da8d06b,2026-07-02T22:31:34.325224+00:00,,2026-07-02T22:31:34.325224+00:00,,,1
one_click_align_candidate,administratively_continued,"Confirm permit lifecycle, then set internal status to administratively_continued.",6667fbf7-7c71-420f-b7cf-a225e526ce7a,WV1005944,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Admin Continued""",active,Admin Continued,npdes_permits,f38902a4-4317-4070-967d-9737d93df16f,78bdb02e-7836-486b-a374-eb395814f36e,2026-07-02T22:31:40.163859+00:00,,2026-07-02T22:31:40.163859+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",52810186-9094-4c6f-a7d5-95535441c521,WV1005995,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,dd82e4bc-0c2d-4d70-a8d1-49394ce8b1f8,2f6e742a-cfba-4fe8-bc08-ce95ff7497b8,2026-07-02T22:31:52.500958+00:00,,2026-07-02T22:31:52.500958+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",de54682b-a11d-4732-b38d-490f386fd1ec,WV1006304,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,3fe7b8b3-33e7-4c17-a2ce-cb9913aef000,64769ba0-cfc2-4a25-a028-d6735bab0256,2026-07-03T15:08:02.184235+00:00,,2026-07-03T15:08:02.184235+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",fe175850-cdae-4e36-bf34-23da0fd3029b,WV1006304,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,3fe7b8b3-33e7-4c17-a2ce-cb9913aef000,64769ba0-cfc2-4a25-a028-d6735bab0256,2026-07-02T22:31:59.64002+00:00,,2026-07-02T22:31:59.64002+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",af879c75-3b3a-4e2c-aa8a-29be5046dc7b,WV1008803,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,b54ae16c-8c1d-485f-868a-1cfae4b2489a,7a40ce74-7ec7-445e-a458-c1fcc450dceb,2026-07-02T22:32:16.811472+00:00,,2026-07-02T22:32:16.811472+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",a3107867-bfdc-41e1-82bf-6073722cf31c,WV1012045,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,630d512f-2237-48d2-91b0-f60e52b2ad7d,8cebe206-f231-4699-bb11-21a1ac5f1a79,2026-07-02T22:32:22.816804+00:00,,2026-07-02T22:32:22.816804+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",72fa1ac1-3ed0-477c-829c-7f9bf5561975,WV1012312,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,c7de7168-29b6-4fda-99da-125e56755d06,5304051e-7333-4bc5-8d02-071493868643,2026-07-02T22:32:29.543521+00:00,,2026-07-02T22:32:29.543521+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",728a61ac-e6f7-4591-809f-ea9274609eb4,WV1015389,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,be8c6e2a-098c-4634-a656-2bd66f688852,95e6fa0f-29c7-4000-98f6-593d177785ab,2026-07-02T22:32:31.966778+00:00,,2026-07-02T22:32:31.966778+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",69e8b4d4-0c3a-4ba8-90a0-2a59f3b32ef4,WV1018701,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,614548ae-65dd-4403-bf0e-910b27d2244b,72dd6546-a6ed-436a-a66b-fc841066850a,2026-07-02T22:32:44.6333+00:00,,2026-07-02T22:32:44.6333+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",5d82a45a-1d48-460b-92a9-0b487d3b6fd1,WV1018752,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,1fa6ac0d-a7aa-49f2-869b-0255bd521250,61f0af21-138c-43ad-9419-539a7cc1b886,2026-07-02T22:32:50.613143+00:00,,2026-07-02T22:32:50.613143+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",39176923-5903-4e80-8610-3859c42e9009,WV1018779,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,3cd2ed00-839c-425a-8734-83a867b62cb2,b0540714-e491-4653-b996-c229b562e5e7,2026-07-03T15:03:03.699606+00:00,,2026-07-03T15:03:03.699606+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",ee35aa5f-6275-4d38-a2cb-165490295ad1,WV1018779,echo,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,3cd2ed00-839c-425a-8734-83a867b62cb2,b0540714-e491-4653-b996-c229b562e5e7,2026-07-02T22:32:54.482179+00:00,,2026-07-02T22:32:54.482179+00:00,,,1
